timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
3434301,-0.00141853,-0.00375909,0.0109326,4001,0,-0.181919,0.422034,-10.0171,4001
3438294,-0.00173369,-0.00699861,0.0124013,3993,0,-0.170385,0.421666,-10.0201,3993
3442294,-0.00353424,-0.00501145,0.0131303,4000,0,-0.180984,0.414126,-10.0347,4000
3446294,-0.00163486,-0.00528747,0.0123611,4000,0,-0.193991,0.422559,-10.0429,4000
3450271,-0.00319295,-0.00737823,0.0140901,3977,0,-0.199527,0.428519,-10.0123,3977
3454301,-0.00322637,-0.00626057,0.0124538,4030,0,-0.209134,0.412978,-10.0168,4030
3458300,-0.00586618,-0.00557361,0.0139718,3999,0,-0.218645,0.404882,-10.0075,3999
3462294,-0.0011865,-0.00721049,0.0149448,3994,0,-0.219223,0.411556,-10.0187,3994
3466294,-0.00149298,-0.00783344,0.014379,4000,0,-0.231652,0.405278,-10.017,4000
3470294,-0.00384069,-0.00723936,0.0157066,4000,0,-0.232109,0.417099,-10.0141,4000
3474294,-0.00319852,-0.00674017,0.0164726,4000,0,-0.233552,0.414292,-10.0153,4000
3478333,-0.00160772,-0.00632577,0.0170149,4039,0,-0.241239,0.412794,-10.0129,4039
3482300,-0.00298459,-0.00570684,0.0171409,3967,0,-0.259982,0.422587,-10.0175,3967
3486294,-0.00288954,-0.00719456,0.0147557,3994,0,-0.262331,0.410476,-10.0252,3994
3490294,-0.00277211,-0.00694291,0.0162427,4000,0,-0.249414,0.406101,-10.026,4000
3494294,-0.00265855,-0.00552849,0.0181082,4000,0,-0.253153,0.42592,-10.0069,4000
3498301,-0.00193,-0.00606251,0.0156422,4007,0,-0.256908,0.438584,-9.99968,4007
3502301,-0.000858141,-0.00676088,0.0168836,4000,0,-0.245487,0.433211,-10.0096,4000
3506294,-0.00223284,-0.00785818,0.0178019,3993,0,-0.237813,0.421564,-10.0053,3993
3510332,-0.00287284,-0.00803585,0.0170522,4038,0,-0.246932,0.42326,-10.0115,4038
3514294,-0.000103727,-0.00631486,0.0165715,3962,0,-0.233233,0.425012,-10.0426,3962
3518300,-0.00266193,-0.00740219,0.0145259,4006,0,-0.22896,0.416021,-10.0443,4006
3522300,-0.00544353,-0.00678013,0.0148844,4000,0,-0.219747,0.417212,-10.0281,4000
3526294,-0.00394697,-0.00638487,0.0178616,3994,0,-0.223005,0.403595,-10.0219,3994
3530344,-0.00404533,-0.00551166,0.0176954,4050,0,-0.21733,0.40275,-10.0258,4050
3534294,-0.00310221,-0.00435058,0.0153909,3950,0,-0.224,0.402467,-10.0186,3950
3538301,-0.000761389,-0.0065751,0.0150772,4007,0,-0.209741,0.393993,-10.0339,4007
3542300,-0.000436129,-0.00703123,0.0158028,3999,0,-0.214959,0.379715,-10.0253,3999
3546294,-0.00223316,-0.00633499,0.0169098,3994,0,-0.216384,0.380042,-10.022,3994
3550298,-0.00161679,-0.00630189,0.0134956,4004,0,-0.211159,0.357697,-10.0252,4004
3554294,-0.00258321,-0.00583414,0.0125606,3996,0,-0.202069,0.343116,-10.0327,3996
3558300,-0.0027924,-0.00639732,0.0132815,4006,0,-0.206198,0.336082,-10.0018,4006
3562332,-0.00160725,-0.00519391,0.0151337,4032,0,-0.203375,0.337303,-10.0094,4032
3566294,-0.00234928,-0.00585151,0.0154372,3962,0,-0.200462,0.321485,-10.0086,3962
3570318,-0.00183214,-0.00555491,0.0135293,4024,0,-0.184735,0.324338,-10.0187,4024
3574294,-0.00172106,-0.00684869,0.0138957,3976,0,-0.185311,0.309047,-10.0327,3976
3578300,-0.00217484,-0.00584123,0.0101101,4006,0,-0.185919,0.292227,-10.0549,4006
3582305,-0.00216887,-0.00642122,0.0114634,4005,0,-0.193625,0.304988,-10.0616,4005
3586294,-0.000560298,-0.00665564,0.0116573,3989,0,-0.200458,0.293938,-10.0611,3989
3590294,-0.00151117,-0.00746864,0.0135517,4000,0,-0.188073,0.29599,-10.0174,4000
3594294,-0.00194437,-0.00619804,0.0133951,4000,0,-0.199597,0.313472,-10.0233,4000
3598303,-0.00278682,-0.00606148,0.0130806,4009,0,-0.208274,0.32365,-10.0253,4009
3602294,-0.00173306,-0.00705092,0.0136802,3991,0,-0.203815,0.329854,-10.0011,3991
3606294,-0.00215987,-0.00567922,0.0114988,4000,0,-0.223832,0.329879,-10.0044,4000
3610300,0.000179021,-0.00603325,0.0122155,4006,0,-0.214875,0.343175,-10.0105,4006
3614294,0.000936131,-0.00617312,0.0130532,3994,0,-0.210927,0.351543,-10.0055,3994
3618300,8.77349e-05,-0.00548519,0.0143644,4006,0,-0.237302,0.37516,-10.0119,4006
3622293,-0.00172157,-0.00663579,0.0139061,3993,0,-0.235004,0.397574,-10.0159,3993
3626294,-0.0021428,-0.00618744,0.0133961,4001,0,-0.235611,0.388076,-10.041,4001
3630301,-0.00332003,-0.00493366,0.0139866,4007,0,-0.23761,0.402788,-10.0506,4007
3634294,-0.00234584,-0.00641186,0.0138079,3993,0,-0.246529,0.388541,-10.0409,3993
3638303,-0.00117859,-0.00576514,0.0161779,4009,0,-0.265867,0.377997,-10.0534,4009
3642294,-0.00140067,-0.00794523,0.0147053,3991,0,-0.277231,0.383375,-10.032,3991
3646320,-0.00226463,-0.00647891,0.0128502,4026,0,-0.27969,0.364951,-10.0399,4026
3650307,-0.000872269,-0.00469259,0.0135571,3987,0,-0.276229,0.389506,-10.0274,3987
3654294,-0.00107588,-0.00692889,0.0133652,3987,0,-0.280676,0.386178,-9.97118,3987
3658344,-0.00352463,-0.00425509,0.0133788,4050,0,-0.306327,0.397378,-10.0093,4050
3662294,-0.00110261,-0.00470554,0.0131231,3950,0,-0.235851,0.403044,-10.0842,3950
3666349,-0.00513533,-0.00945724,0.0129632,4055,0,-0.296773,0.383581,-9.92824,4055
3670303,-0.00276248,-0.00221079,0.0137737,3954,0,-0.294303,0.456761,-10.1037,3954
3674294,0.000196533,-0.00638688,0.0138086,3991,0,-0.159146,0.466825,-10.0793,3991
3678345,-0.00569916,-0.0109102,0.0104453,4051,0,-0.283574,0.431814,-9.89774,4051
3682295,-0.00105686,-0.000194445,0.0133413,3950,0,-0.241413,0.506481,-10.071,3950
3686313,-0.00107534,-0.00735082,0.0134375,4018,0,-0.151088,0.4991,-10.0138,4018
3690294,-0.00472936,-0.00925808,0.0136336,3981,0,-0.30031,0.494182,-10.0077,3981
3694294,-0.00342281,-0.000990961,0.0162784,4000,0,-0.181944,0.525256,-10.0456,4000
3698343,-0.000533163,-0.00894295,0.0150772,4049,0,-0.177524,0.476126,-10.0098,4049
3702295,-0.00141861,-0.00673606,0.0145574,3952,0,-0.248519,0.452862,-10.0423,3952
3706303,-0.00287702,-0.00780791,0.0162059,4008,0,-0.186135,0.478861,-10.0114,4008
3710294,0.000419816,-0.00950143,0.016542,3991,0,-0.202077,0.446844,-10.0184,3991
3714294,-0.0023467,-0.0060489,0.0149988,4000,0,-0.209183,0.414952,-10.0197,4000
3718325,-0.00160607,-0.00689549,0.0150725,4031,0,-0.186789,0.432297,-10.0441,4031
3722302,-0.00203612,-0.00849113,0.0151205,3977,0,-0.203915,0.364606,-9.99373,3977
3726308,-0.00161494,-0.00556947,0.0165088,4006,0,-0.218652,0.336874,-10.0066,4006
3730334,-0.00201677,-0.0067265,0.0158204,4026,0,-0.201493,0.350463,-10.0367,4026
3734302,-0.000441223,-0.00620597,0.0142242,3968,0,-0.201085,0.329781,-10.0148,3968
3738316,-0.00173803,-0.00662979,0.0140279,4014,0,-0.204416,0.318587,-10.0308,4014
3742302,-0.00139101,-0.00556559,0.0157595,3986,0,-0.212126,0.318935,-10.0264,3986
3746309,-0.00192614,-0.00788165,0.0158866,4007,0,-0.215011,0.327476,-10.0366,4007
3750351,-0.00258367,-0.00785587,0.0144868,4042,0,-0.212635,0.337245,-10.0389,4042
3754313,-0.00107677,-0.00555563,0.0118025,3962,0,-0.208834,0.34566,-10.0373,3962
3758308,-0.0025982,-0.00524399,0.0134412,3995,0,-0.223123,0.331112,-10.0191,3995
3762302,-0.00544949,-0.00662018,0.0136113,3994,0,-0.233029,0.36465,-10.0086,3994
3766308,-0.00322453,-0.0069008,0.0128427,4006,0,-0.241171,0.352866,-10.0134,4006
3770302,-0.00163459,-0.00521314,0.0127806,3994,0,-0.213265,0.364231,-10.0551,3994
3774302,-0.00397876,-0.00812365,0.0111991,4000,0,-0.221101,0.393923,-10.0089,4000
3778301,-0.00311223,-0.00628397,0.0131777,3999,0,-0.245496,0.395908,-10.0116,3999
3782304,-0.00216055,-0.00564115,0.012986,4003,0,-0.243125,0.396494,-10.0131,4003
3786358,-0.00407159,-0.00766607,0.0132419,4054,0,-0.263483,0.396756,-10.022,4054
3790311,-0.00267022,-0.00659384,0.0128375,3953,0,-0.266935,0.395074,-10.0234,3953
3794301,-0.00120063,-0.00508926,0.0125823,3990,0,-0.246901,0.383762,-10.0077,3990
3798302,-0.00396262,-0.00757839,0.0134569,4001,0,-0.266599,0.393871,-10.0062,4001
3802302,-0.00311249,-0.00746121,0.0133522,4000,0,-0.279435,0.385697,-9.99543,4000
3806358,-0.00130028,-0.00670573,0.0132726,4056,0,-0.243528,0.387078,-10.0214,4056
3810302,-0.00228215,-0.00663646,0.0136707,3944,0,-0.255819,0.357188,-9.98211,3944
3814334,-0.00224785,-0.00637778,0.0129759,4032,0,-0.274705,0.390012,-10.0268,4032
