timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
3366271,32767,32767,32767,32767,32767,-71,32767,32767
3370287,32767,32767,32767,32767,32767,32767,32767,32767
3374270,32767,32767,32767,32767,-47,-40,32767,32767
3378271,32767,32767,32767,32767,32767,32767,32767,32767
3382309,32767,32767,32767,32767,32767,32767,32767,32767
3386271,32767,32767,32767,32767,-54,-71,32767,32767
3390277,32767,32767,32767,32767,32767,32767,32767,32767
3394290,32767,32767,32767,32767,32767,-40,32767,32767
3398271,32767,32767,32767,32767,-68,32767,32767,32767
3402271,32767,32767,32767,32767,32767,32767,32767,32767
3406270,32767,32767,32767,32767,32767,-71,32767,32767
3410277,32767,32767,32767,32767,32767,32767,32767,32767
3414317,32767,32767,32767,32767,32767,-41,32767,32767
3418294,32767,32767,32767,32767,-47,32767,32767,32767
3422313,32767,32767,32767,32767,32767,32767,32767,32767
3426294,32767,32767,32767,32767,32767,-71,32767,32767
3430300,32767,32767,32767,32767,-59,32767,32767,32767
3434301,32767,32767,32767,32767,32767,-41,32767,32767
3438294,32767,32767,32767,32767,32767,32767,32767,32767
3442294,32767,32767,32767,32767,-68,32767,32767,32767
3446294,32767,32767,32767,32767,32767,-71,32767,32767
3450271,32767,32767,32767,32767,32767,32767,32767,32767
3454301,32767,32767,32767,32767,32767,-64,32767,32767
3458300,32767,32767,32767,32767,32767,32767,32767,32767
3462294,32767,32767,32767,32767,-48,-40,32767,32767
3466294,32767,32767,32767,32767,32767,32767,32767,32767
3470294,32767,32767,32767,32767,32767,32767,32767,32767
3474294,32767,32767,32767,32767,-58,-64,32767,32767
3478333,32767,32767,32767,32767,32767,32767,32767,32767
3482300,32767,32767,32767,32767,32767,-40,32767,32767
3486294,32767,32767,32767,32767,-68,32767,32767,32767
3490294,32767,32767,32767,32767,32767,32767,32767,32767
3494294,32767,32767,32767,32767,32767,-63,32767,32767
3498301,32767,32767,32767,32767,32767,32767,32767,32767
3502301,32767,32767,32767,32767,32767,-41,32767,32767
3506294,32767,32767,32767,32767,-58,32767,32767,32767
3510332,32767,32767,32767,32767,32767,32767,32767,32767
3514294,32767,32767,32767,32767,32767,-63,32767,32767
3518300,32767,32767,32767,32767,-72,32767,32767,32767
3522300,32767,32767,32767,32767,32767,-41,32767,32767
3526294,32767,32767,32767,32767,-48,32767,32767,32767
3530344,32767,32767,32767,32767,32767,32767,32767,32767
3534294,32767,32767,32767,32767,32767,-63,32767,32767
3538301,32767,32767,32767,32767,32767,32767,32767,32767
3542300,32767,32767,32767,32767,32767,-41,32767,32767
3546294,32767,32767,32767,32767,32767,32767,32767,32767
3550298,32767,32767,32767,32767,-73,32767,32767,32767
3554294,32767,32767,32767,32767,32767,-64,32767,32767
3558300,32767,32767,32767,32767,-49,32767,32767,32767
3562332,32767,32767,32767,32767,32767,-41,32767,32767
3566294,32767,32767,32767,32767,32767,32767,32767,32767
