timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
56462627,5.25293,0.0,0,0,1,0,0,0,0
56962627,5.23198,0.0,0,0,1,0,0,0,0
57472627,5.22876,0.0,0,0,1,0,0,0,0
57972627,5.24165,0.0,0,0,1,0,0,0,0
58472672,5.21909,0.0,0,0,1,0,0,0,0
58972627,5.29966,0.0,0,0,1,0,0,0,0
59472664,5.29805,0.0,0,0,1,0,0,0,0
59972627,5.2626,0.0,0,0,1,0,0,0,0
60482672,5.21748,0.0,0,0,1,0,0,0,0
60982627,5.25132,0.0,0,0,1,0,0,0,0
61482627,5.21909,0.0,0,0,1,0,0,0,0
61982627,5.2481,0.0,0,0,1,0,0,0,0
62482627,5.25132,0.0,0,0,1,0,0,0,0
62982627,5.25132,0.0,0,0,1,0,0,0,0
63492643,5.22231,0.0,0,0,1,0,0,0,0
63992627,5.24165,0.0,0,0,1,0,0,0,0
64492627,5.2207,0.0,0,0,1,0,0,0,0
64992627,5.20781,0.0,0,0,1,0,0,0,0
65492627,5.26743,0.0,0,0,1,0,0,0,0
65992627,5.27065,0.0,0,0,1,0,0,0,0
66492627,5.2481,0.0,0,0,1,0,0,0,0
66992649,5.24971,0.0,0,0,1,0,0,0,0
67502627,5.21748,0.0,0,0,1,0,0,0,0
68002627,5.21748,0.0,0,0,1,0,0,0,0
68502669,5.24971,0.0,0,0,1,0,0,0,0
69002627,5.25132,0.0,0,0,1,0,0,0,0
69502669,5.21748,0.0,0,0,1,0,0,0,0
70012632,5.24971,0.0,0,0,1,0,0,0,0
70512627,5.25293,0.0,0,0,1,0,0,0,0
71012627,5.21909,0.0,0,0,1,0,0,0,0
71512627,5.29482,0.0,0,0,1,0,0,0,0
72012628,5.25132,0.0,0,0,1,0,0,0,0
72512662,5.23521,0.0,0,0,1,0,0,0,0
73012670,5.25454,0.0,0,0,1,0,0,0,0
73512646,5.25132,0.0,0,0,1,0,0,0,0
74012627,5.24971,0.0,0,0,1,0,0,0,0
74512627,5.21909,0.0,0,0,1,0,0,0,0
75022627,5.24326,0.0,0,0,1,0,0,0,0
75522627,5.24971,0.0,0,0,1,0,0,0,0
76022661,5.23521,0.0,0,0,1,0,0,0,0
76522627,5.27065,0.0,0,0,1,0,0,0,0
77022627,5.2481,0.0,0,0,1,0,0,0,0
77522627,5.23521,0.0,0,0,1,0,0,0,0
78032627,5.30127,0.0,0,0,1,0,0,0,0
78532648,5.2916,0.0,0,0,1,0,0,0,0
79032661,5.2207,0.0,0,0,1,0,0,0,0
79532627,5.24487,0.0,0,0,1,0,0,0,0
80032627,5.24971,0.0,0,0,1,0,0,0,0
80532633,5.23359,0.0,0,0,1,0,0,0,0
81032627,5.28999,0.0,0,0,1,0,0,0,0
81532627,5.24648,0.0,0,0,1,0,0,0,0
82042654,5.22231,0.0,0,0,1,0,0,0,0
82542627,5.2626,0.0,0,0,1,0,0,0,0
83042627,5.29482,0.0,0,0,1,0,0,0,0
83542627,5.24648,0.0,0,0,1,0,0,0,0
84042660,5.23682,0.0,0,0,1,0,0,0,0
84542627,5.20298,0.0,0,0,1,0,0,0,0
85042627,5.23359,0.0,0,0,1,0,0,0,0
85552627,5.24165,0.0,0,0,1,0,0,0,0
86052627,5.21748,0.0,0,0,1,0,0,0,0
86552627,5.24648,0.0,0,0,1,0,0,0,0
87052652,5.24487,0.0,0,0,1,0,0,0,0
87552627,5.24487,0.0,0,0,1,0,0,0,0
88052657,5.26099,0.0,0,0,1,0,0,0,0
88552675,5.2481,0.0,0,0,1,0,0,0,0
89052627,5.26099,0.0,0,0,1,0,0,0,0
89552633,5.24487,0.0,0,0,1,0,0,0,0
90052627,5.29966,0.0,0,0,1,0,0,0,0
90562627,5.24971,0.0,0,0,1,0,0,0,0
91062625,5.23843,0.0,0,0,1,0,0,0,0
91562661,5.25293,0.0,0,0,1,0,0,0,0
92062638,5.2481,0.0,0,0,1,0,0,0,0
92562628,5.21426,0.0,0,0,1,0,0,0,0
93062627,5.25132,0.0,0,0,1,0,0,0,0
93572628,5.23843,0.0,0,0,1,0,0,0,0
94072627,5.23359,0.0,0,0,1,0,0,0,0
94572661,5.27388,0.0,0,0,1,0,0,0,0
95072627,5.29321,0.0,0,0,1,0,0,0,0
95572627,5.2481,0.0,0,0,1,0,0,0,0
96072627,5.28838,0.0,0,0,1,0,0,0,0
96582627,5.24971,0.0,0,0,1,0,0,0,0
97082653,5.21909,0.0,0,0,1,0,0,0,0
97582661,5.25132,0.0,0,0,1,0,0,0,0
98082627,5.2481,0.0,0,0,1,0,0,0,0
98582627,5.2207,0.0,0,0,1,0,0,0,0
99082627,5.22393,0.0,0,0,1,0,0,0,0
99582660,5.25454,0.0,0,0,1,0,0,0,0
100082627,5.24971,0.0,0,0,1,0,0,0,0
100592657,5.25938,0.0,0,0,1,0,0,0,0
101092651,5.27227,0.0,0,0,1,0,0,0,0
101592627,5.22231,0.0,0,0,1,0,0,0,0
102092626,5.25132,0.0,0,0,1,0,0,0,0
102592627,5.25454,0.0,0,0,1,0,0,0,0
103092627,5.21426,0.0,0,0,1,0,0,0,0
103602667,5.24487,0.0,0,0,1,0,0,0,0
104102627,5.23521,0.0,0,0,1,0,0,0,0
104602627,5.21748,0.0,0,0,1,0,0,0,0
105102627,5.21909,0.0,0,0,1,0,0,0,0
105602627,5.25132,0.0,0,0,1,0,0,0,0
106102627,5.27549,0.0,0,0,1,0,0,0,0
106612666,5.21587,0.0,0,0,1,0,0,0,0
107112629,5.28032,0.0,0,0,1,0,0,0,0
107612627,5.25615,0.0,0,0,1,0,0,0,0
108112627,5.22876,0.0,0,0,1,0,0,0,0
108612665,5.23843,0.0,0,0,1,0,0,0,0
109112635,5.25132,0.0,0,0,1,0,0,0,0
109612627,5.2207,0.0,0,0,1,0,0,0,0
110112675,5.2481,0.0,0,0,1,0,0,0,0
110612640,5.24487,0.0,0,0,1,0,0,0,0
111122627,5.25938,0.0,0,0,1,0,0,0,0
111622627,5.30449,0.0,0,0,1,0,0,0,0
112122633,5.27871,0.0,0,0,1,0,0,0,0
112622662,5.28677,0.0,0,0,1,0,0,0,0
113122667,5.28677,0.0,0,0,1,0,0,0,0
113622627,5.27549,0.0,0,0,1,0,0,0,0
114122627,5.28032,0.0,0,0,1,0,0,0,0
115122648,5.21587,0.0,0,0,1,0,0,0,0
115632627,5.20459,0.0,0,0,1,0,0,0,0
116132666,5.2481,0.0,0,0,1,0,0,0,0
116632639,5.25454,0.0,0,0,1,0,0,0,0
117132639,5.25132,0.0,0,0,1,0,0,0,0
117632627,5.28999,0.0,0,0,1,0,0,0,0
118132627,5.28516,0.0,0,0,1,0,0,0,0
118642627,5.2481,0.0,0,0,1,0,0,0,0
119142667,5.25938,0.0,0,0,1,0,0,0,0
119642627,5.27065,0.0,0,0,1,0,0,0,0
120142627,5.25938,0.0,0,0,1,0,0,0,0
120642644,5.22554,0.0,0,0,1,0,0,0,0
121142627,5.25293,0.0,0,0,1,0,0,0,0
121642627,5.24971,0.0,0,0,1,0,0,0,0
122152668,5.23359,0.0,0,0,1,0,0,0,0
122652627,5.29644,0.0,0,0,1,0,0,0,0
123152627,5.2771,0.0,0,0,1,0,0,0,0
123652627,5.27388,0.0,0,0,1,0,0,0,0
124152647,5.29644,0.0,0,0,1,0,0,0,0
124662676,5.2916,0.0,0,0,1,0,0,0,0
125162666,5.2481,0.0,0,0,1,0,0,0,0
125662651,5.23843,0.0,0,0,1,0,0,0,0
126172627,5.24971,0.0,0,0,1,0,0,0,0
126672664,5.22554,0.0,0,0,1,0,0,0,0
127172633,5.24971,0.0,0,0,1,0,0,0,0
127672627,5.25132,0.0,0,0,1,0,0,0,0
128172661,5.21748,0.0,0,0,1,0,0,0,0
128682628,5.24971,0.0,0,0,1,0,0,0,0
129182627,5.25132,0.0,0,0,1,0,0,0,0
129682669,5.25776,0.0,0,0,1,0,0,0,0
130182627,5.28032,0.0,0,0,1,0,0,0,0
130682636,5.27065,0.0,0,0,1,0,0,0,0
131182667,5.25132,0.0,0,0,1,0,0,0,0
131692627,5.21587,0.0,0,0,1,0,0,0,0
132192627,5.25454,0.0,0,0,1,0,0,0,0
132692627,5.24004,0.0,0,0,1,0,0,0,0
133192627,5.21909,0.0,0,0,1,0,0,0,0
133692627,5.23359,0.0,0,0,1,0,0,0,0
134192652,5.29805,0.0,0,0,1,0,0,0,0
134692639,5.22393,0.0,0,0,1,0,0,0,0
135192635,5.28193,0.0,0,0,1,0,0,0,0
136702627,5.28516,0.0,0,0,1,0,0,0,0
137202667,5.25454,0.0,0,0,1,0,0,0,0
