timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
96777055,0.0,0.0,0.0,0.01738378,-0.06237203,1.9831238,0.0,0.0,0.0,0.78049964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572177,0.25721735,4.0451035,0.0,0.0,0.0,0.090115346,0.0,0.0,0.0,0.0,0.0,0.01658926,0.022821654,0.04804528,0.0,0.0,0.0,0.0,0.0,0.0
96981179,0.0,0.0,0.0,0.010450328,-0.049706925,2.4298553,0.0,0.0,0.0,0.7805016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572666,0.25726625,4.045303,0.0,0.0,0.0,0.09011581,0.0,0.0,0.0,0.0,0.0,0.01637454,0.01704091,0.050150875,0.0,0.0,0.0,0.0,0.0,0.0
97182000,0.0,0.0,0.0,-0.0017146511,-0.04485609,2.1074524,0.0,0.0,0.0,0.78050286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572557,0.25725526,4.0453715,0.0,0.0,0.0,0.0901161,0.0,0.0,0.0,0.0,0.0,0.016660806,0.015766202,0.032805964,0.0,0.0,0.0,0.0,0.0,0.0
97385895,0.0,0.0,0.0,-0.01882355,-0.054340724,2.124176,0.0,0.0,0.0,0.7805041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25722912,0.25722843,4.0454106,0.0,0.0,0.0,0.09011638,0.0,0.0,0.0,0.0,0.0,0.016250253,0.012821015,0.038948573,0.0,0.0,0.0,0.0,0.0,0.0
97590065,0.0,0.0,0.0,-0.05659165,-0.060789257,2.0357819,0.0,0.0,0.0,0.78050584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25740904,0.2574081,4.0460086,0.0,0.0,0.0,0.09011678,0.0,0.0,0.0,0.0,0.0,0.017432682,0.016099304,0.029305536,0.0,0.0,0.0,0.0,0.0,0.0
97790751,0.0,0.0,0.0,-0.096742734,-0.047667358,2.282898,0.0,0.0,0.0,0.78050655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25745252,0.257452,4.046321,0.0,0.0,0.0,0.09011694,0.0,0.0,0.0,0.0,0.0,0.01732372,0.01644075,0.036714118,0.0,0.0,0.0,0.0,0.0,0.0
97990709,0.0,0.0,0.0,-0.11396909,-0.016687876,1.6763458,0.0,0.0,0.0,0.78050727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25737244,0.2573725,4.0463853,0.0,0.0,0.0,0.09011711,0.0,0.0,0.0,0.0,0.0,0.017537536,0.023953313,0.030788835,0.0,0.0,0.0,0.0,0.0,0.0
98195497,0.0,0.0,0.0,-0.11886945,0.019142251,2.3309937,0.0,0.0,0.0,0.7805085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25730306,0.2573034,4.0464005,0.0,0.0,0.0,0.090117395,0.0,0.0,0.0,0.0,0.0,0.018127434,0.024380552,0.036730323,0.0,0.0,0.0,0.0,0.0,0.0
98395534,0.0,0.0,0.0,-0.13462256,0.052805707,1.9055634,0.0,0.0,0.0,0.7805078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25728124,0.257282,4.0465355,0.0,0.0,0.0,0.09011723,0.0,0.0,0.0,0.0,0.0,0.01787386,0.025700893,0.044304173,0.0,0.0,0.0,0.0,0.0,0.0
98596447,0.0,0.0,0.0,-0.1350634,0.06778639,1.8411407,0.0,0.0,0.0,0.7805073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572455,0.25724643,4.046602,0.0,0.0,0.0,0.09011713,0.0,0.0,0.0,0.0,0.0,0.017667241,0.026525203,0.05283336,0.0,0.0,0.0,0.0,0.0,0.0
98800340,0.0,0.0,0.0,-0.117356315,0.078200504,1.5318756,0.0,0.0,0.0,0.7805065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25723457,0.25723523,4.0467153,0.0,0.0,0.0,0.090116926,0.0,0.0,0.0,0.0,0.0,0.018044636,0.026157834,0.0722484,0.0,0.0,0.0,0.0,0.0,0.0
99004461,0.0,0.0,0.0,-0.116229944,0.0990276,1.2728729,0.0,0.0,0.0,0.78050536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25724605,0.2572467,4.046906,0.0,0.0,0.0,0.09011667,0.0,0.0,0.0,0.0,0.0,0.01741034,0.02626656,0.06915199,0.0,0.0,0.0,0.0,0.0,0.0
99205117,0.0,0.0,0.0,-0.12638608,0.13251124,2.041916,0.0,0.0,0.0,0.7805046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572339,0.25723445,4.0470257,0.0,0.0,0.0,0.09011649,0.0,0.0,0.0,0.0,0.0,0.017093008,0.028535517,0.07203637,0.0,0.0,0.0,0.0,0.0,0.0
99409174,0.0,0.0,0.0,-0.14147562,0.17643471,1.407608,0.0,0.0,0.0,0.78050303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25726527,0.2572655,4.047275,0.0,0.0,0.0,0.09011613,0.0,0.0,0.0,0.0,0.0,0.01801126,0.035467725,0.074117124,0.0,0.0,0.0,0.0,0.0,0.0
99613907,0.0,0.0,0.0,-0.1579724,0.19444676,1.6770325,0.0,0.0,0.0,0.7805012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25727314,0.25727367,4.047446,0.0,0.0,0.0,0.0901157,0.0,0.0,0.0,0.0,0.0,0.017254895,0.03567352,0.08816284,0.0,0.0,0.0,0.0,0.0,0.0
99814010,0.0,0.0,0.0,-0.18430328,0.20185408,1.1849518,0.0,0.0,0.0,0.7804996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25731075,0.2573124,4.047737,0.0,0.0,0.0,0.09011534,0.0,0.0,0.0,0.0,0.0,0.017057251,0.04355507,0.092832826,0.0,0.0,0.0,0.0,0.0,0.0
100017917,0.0,0.0,0.0,-0.20057814,0.19436681,1.8132324,0.0,0.0,0.0,0.78049767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25742763,0.25743005,4.0482516,0.0,0.0,0.0,0.0901149,0.0,0.0,0.0,0.0,0.0,0.016620383,0.04000519,0.097080514,0.0,0.0,0.0,0.0,0.0,0.0
100222717,0.0,0.0,0.0,-0.24974188,0.18334788,1.1435394,0.0,0.0,0.0,0.7804954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2575456,0.25755045,4.048846,0.0,0.0,0.0,0.09011438,0.0,0.0,0.0,0.0,0.0,0.01724916,0.0371831,0.096013546,0.0,0.0,0.0,0.0,0.0,0.0
100422706,0.0,0.0,0.0,-0.32463527,0.18323041,1.3119507,0.0,0.0,0.0,0.78049386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25752074,0.25752988,4.0490847,0.0,0.0,0.0,0.090114005,0.0,0.0,0.0,0.0,0.0,0.016319225,0.052796796,0.10182758,0.0,0.0,0.0,0.0,0.0,0.0
100623612,0.0,0.0,0.0,-0.37230292,0.19116004,0.92832947,0.0,0.0,0.0,0.7804906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25750294,0.25751498,4.049234,0.0,0.0,0.0,0.09011325,0.0,0.0,0.0,0.0,0.0,0.016401377,0.060794745,0.1098258,0.0,0.0,0.0,0.0,0.0,0.0
100827579,0.0,0.0,0.0,-0.4021771,0.20569943,1.194519,0.0,0.0,0.0,0.78048676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25751427,0.25752777,4.0494194,0.0,0.0,0.0,0.09011237,0.0,0.0,0.0,0.0,0.0,0.017125564,0.0660846,0.11686109,0.0,0.0,0.0,0.0,0.0,0.0
101031583,0.0,0.0,0.0,-0.41655427,0.21954174,0.8629608,0.0,0.0,0.0,0.78048253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25756264,0.2575761,4.0496836,0.0,0.0,0.0,0.0901114,0.0,0.0,0.0,0.0,0.0,0.016651139,0.075284295,0.1304946,0.0,0.0,0.0,0.0,0.0,0.0
101232270,0.0,0.0,0.0,-0.4166861,0.2126254,1.0243683,0.0,0.0,0.0,0.7804785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2576131,0.25762534,4.049876,0.0,0.0,0.0,0.090110466,0.0,0.0,0.0,0.0,0.0,0.017159646,0.070580766,0.12822343,0.0,0.0,0.0,0.0,0.0,0.0
101436330,0.0,0.0,0.0,-0.44349462,0.18566385,0.79481506,0.0,0.0,0.0,0.7804749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577192,0.25773183,4.050195,0.0,0.0,0.0,0.09010964,0.0,0.0,0.0,0.0,0.0,0.016357,0.07506706,0.13789819,0.0,0.0,0.0,0.0,0.0,0.0
101637251,0.0,0.0,0.0,-0.48175582,0.16442533,0.68040466,0.0,0.0,0.0,0.78047043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25778568,0.25779957,4.05038,0.0,0.0,0.0,0.0901086,0.0,0.0,0.0,0.0,0.0,0.01577761,0.07576111,0.1381605,0.0,0.0,0.0,0.0,0.0,0.0
101837118,0.0,0.0,0.0,-0.5027787,0.1513821,0.5328827,0.0,0.0,0.0,0.78046566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25788677,0.25790027,4.05062,0.0,0.0,0.0,0.09010751,0.0,0.0,0.0,0.0,0.0,0.015418949,0.07807568,0.13888866,0.0,0.0,0.0,0.0,0.0,0.0
102041877,0.0,0.0,0.0,-0.5011923,0.13285434,0.5366974,0.0,0.0,0.0,0.7804605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25802308,0.25803375,4.0509367,0.0,0.0,0.0,0.09010631,0.0,0.0,0.0,0.0,0.0,0.016171414,0.08206885,0.13420218,0.0,0.0,0.0,0.0,0.0,0.0
102245972,0.0,0.0,0.0,-0.49172002,0.1116201,0.51109314,0.0,0.0,0.0,0.7804562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25820786,0.25821528,4.0514097,0.0,0.0,0.0,0.09010531,0.0,0.0,0.0,0.0,0.0,0.015448051,0.07869388,0.13420217,0.0,0.0,0.0,0.0,0.0,0.0
102445922,0.0,0.0,0.0,-0.45314142,0.08534546,0.09095764,0.0,0.0,0.0,0.7804525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25837436,0.2583771,4.0518565,0.0,0.0,0.0,0.09010446,0.0,0.0,0.0,0.0,0.0,0.014927398,0.07077252,0.12886338,0.0,0.0,0.0,0.0,0.0,0.0
102650673,0.0,0.0,0.0,-0.39590544,0.021253437,0.28881836,0.0,0.0,0.0,0.78044856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586953,0.25869223,4.0527654,0.0,0.0,0.0,0.09010356,0.0,0.0,0.0,0.0,0.0,0.014036158,0.05976801,0.12441216,0.0,0.0,0.0,0.0,0.0,0.0
102854796,0.0,0.0,0.0,-0.3330222,-0.033093847,0.4187622,0.0,0.0,0.0,0.78044313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586498,0.2586434,4.052862,0.0,0.0,0.0,0.09010229,0.0,0.0,0.0,0.0,0.0,0.014523425,0.04753141,0.10265508,0.0,0.0,0.0,0.0,0.0,0.0
