timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
3646290,-0.012042988,-0.03384761,-0.005988724,3999,0,-0.35318357,0.6218615,-9.921623,3999
3650274,-0.0043218317,-0.039780486,-0.011904195,3984,0,-0.4338288,0.5490849,-9.8246975,3984
3654293,-0.011291761,-0.033724096,-0.016428983,4019,0,-0.4740238,0.52347237,-9.725626,4019
3658280,-0.017358465,-0.032652795,-0.019542655,3987,0,-0.4490455,0.59007436,-9.78358,3987
3662278,-0.012726595,-0.032459684,-0.024663338,3998,0,-0.44773948,0.5999752,-9.813944,3998
3666274,-0.005388183,-0.028915528,-0.027762346,3996,0,-0.50440305,0.5853401,-9.754859,3996
3670273,0.005677514,-0.022393107,-0.03160288,3999,0,-0.4934784,0.6662966,-9.846057,3999
3674296,0.015620958,-0.021060292,-0.035149727,4023,0,-0.4253927,0.52660185,-9.7329235,4023
3678280,-0.0013804582,-0.016624264,-0.03964243,3984,0,-0.49491492,0.3805439,-9.5555725,3984
3682317,-0.01599919,-0.004475133,-0.039282702,4037,0,-0.47908604,0.44579902,-9.615972,4037
3686274,-0.01501679,-0.0026423582,-0.042322665,3957,0,-0.42677224,0.5718151,-9.826476,3957
3690273,-0.0030878496,-0.0046786293,-0.047021203,3999,0,-0.4401331,0.5970874,-9.838976,3999
3694311,-0.0038483858,-0.0053076614,-0.052817944,4038,0,-0.5056389,0.5715605,-9.707221,4038
3698280,-0.01015893,0.00036839378,-0.06129266,3969,0,-0.51731,0.6368331,-9.775793,3969
3702273,-0.004477727,-0.0010092657,-0.06933386,3993,0,-0.4361069,0.714369,-9.930365,3993
3706274,-0.0016473072,-0.007043996,-0.07834462,4001,0,-0.45927995,0.65527225,-9.892923,4001
3710273,-0.004566392,-0.0065923575,-0.086248904,3999,0,-0.5059591,0.6181888,-9.771653,3999
3714312,-0.0052423775,-0.0028416743,-0.092645526,4039,0,-0.5118318,0.61844105,-9.718646,4039
3718280,-0.0033767822,-0.004250423,-0.09995194,3968,0,-0.48935914,0.6116217,-9.798187,3968
3722274,-0.0012942861,-0.0018398047,-0.1068821,3994,0,-0.4508376,0.613309,-9.839494,3994
3726298,0.0018690669,-0.0019035874,-0.11320229,4024,0,-0.47901854,0.59031445,-9.818018,4024
3730274,0.0032366803,0.0016578184,-0.11496717,3976,0,-0.4818003,0.5366692,-9.729618,3976
3734274,-0.00060093804,0.0019999526,-0.11770912,4000,0,-0.47913447,0.47868824,-9.686232,4000
3738279,-0.0064837174,0.006596985,-0.120689176,4005,0,-0.46683547,0.48254254,-9.711453,4005
3742274,-0.008409434,0.010259736,-0.12158746,3995,0,-0.44100922,0.509681,-9.802768,3995
3746297,-0.0032018693,0.010439322,-0.12610078,4023,0,-0.43140224,0.5131912,-9.889659,4023
3750274,-0.0014279138,0.00891466,-0.12753521,3977,0,-0.40780517,0.49872178,-9.866101,3977
3754273,0.002194423,0.009701725,-0.1289268,3999,0,-0.42158112,0.50403774,-9.827357,3999
3758280,-0.0027115652,0.008059733,-0.13045059,4007,0,-0.4066835,0.4340338,-9.744061,4007
3762279,-0.010598443,0.0076459427,-0.13370334,3999,0,-0.44028136,0.4479227,-9.754551,3999
3766308,-0.009651559,0.008327996,-0.13743886,4029,0,-0.39608848,0.553085,-9.91021,4029
3770274,-0.006085847,0.0026836942,-0.14247894,3966,0,-0.42617324,0.5870049,-9.947084,3966
3774274,-0.0053645163,-0.00075788895,-0.14676812,4000,0,-0.45162722,0.5922462,-9.887364,4000
3778280,-0.008067471,-0.003089978,-0.1547184,4006,0,-0.44281694,0.54702026,-9.798237,4006
3782280,-0.011722836,-0.004606239,-0.15945835,4000,0,-0.46415544,0.5528656,-9.826062,4000
3786277,-0.011130551,-0.005162845,-0.1668314,3997,0,-0.43755832,0.61371046,-9.861157,3997
3790273,-0.012841524,-0.0072646346,-0.17010261,3996,0,-0.46040857,0.589615,-9.8318815,3996
3794272,-0.014902948,-0.0068661543,-0.17483278,3999,0,-0.44932303,0.5549267,-9.757089,3999
3798274,-0.016740704,-0.006359769,-0.18172918,4002,0,-0.45880732,0.5408642,-9.742923,4002
3802296,-0.020506289,-0.003209892,-0.18607639,4022,0,-0.4330229,0.5590824,-9.837079,4022
3806273,-0.016343266,-0.00470794,-0.18595047,3977,0,-0.39374518,0.5456748,-9.827709,3977
3810311,-0.014544537,-0.0047154147,-0.18575269,4038,0,-0.4177914,0.47461274,-9.764828,4038
3814274,-0.0164564,-0.0010722729,-0.18580025,3963,0,-0.41171998,0.43761015,-9.714934,3963
3818274,-0.016574465,0.00195455,-0.18514934,4000,0,-0.40555632,0.42837158,-9.712887,4000
3822309,-0.014940271,0.0049228873,-0.1841775,4035,0,-0.38135687,0.4608642,-9.766719,4035
3826281,-0.010907987,0.006691259,-0.18340386,3972,0,-0.37543267,0.4555059,-9.790314,3972
3830312,-0.009611315,0.009875331,-0.18039474,4031,0,-0.41027746,0.42885354,-9.792173,4031
3834281,-0.0059831715,0.012834352,-0.17965673,3969,0,-0.39980757,0.43288854,-9.800222,3969
3838281,-0.002895397,0.012534825,-0.17778088,4000,0,-0.41411817,0.39432436,-9.790603,4000
3842325,-0.004804602,0.013799467,-0.17439818,4044,0,-0.43139496,0.38901147,-9.787278,4044
