timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
23379495,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
24390918,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
25348764,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
26357753,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
27359562,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
28369762,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
29376746,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
30048898,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
31054660,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
32064428,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
33072423,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
34083579,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
35093048,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
36102625,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
37102653,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
38106700,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
39108495,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
40114555,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
41120764,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
42127616,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
44133722,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
45138939,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
46144151,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
47145898,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
48152498,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
