timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
245126719,0.7601922,0.06590182,-0.021341044,-0.6459949,-15.942686,-3.6362238,-0.31386632,-1171.8057,-472.54605,-56.538166,-5.7575075e-05,-6.9746966e-05,-3.7457478e-06,-0.0030881234,-0.00013509358,-0.0004884562,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,2.152659e-09,2.0077296e-05,0.0006973585,1.4753184e-05,5.725318e-06,5.9125096e-06,1.3290579e-05,0.015444396,0.015410901,0.015095913,0.07916142,0.0790967,0.39115882,1.1038078e-11,1.0989623e-11,1.7596645e-11,5.0000256e-08,5.0000786e-08,5.0000075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.3978167,0.6254269,0.14279002,0.118096545,0.03754798,0.069418035,0.0,0.0,0.0,-7.8e-05,320,0,0,831,0,0,0,1
245331500,0.76195526,0.06512554,-0.02114062,-0.64400005,-15.78545,-3.6270263,-0.26773915,-1175.1536,-473.3497,-56.609055,-5.7438552e-05,-6.9592534e-05,-4.1378157e-06,-0.0030851907,-0.00012936951,-0.0004904109,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,1.9052397e-09,2.0049458e-05,0.00072666793,1.4685619e-05,5.732793e-06,5.9049885e-06,1.3427235e-05,0.015454786,0.015440997,0.01498277,0.07918131,0.07911524,0.38790444,1.10319635e-11,1.0989177e-11,1.7603724e-11,5.000026e-08,5.0000857e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.397865,0.6228197,0.1459561,0.123232424,0.050919592,0.06018948,0.0,0.0,0.0,-9.7e-05,320,0,0,831,0,0,0,1
245532312,0.76353276,0.065659694,-0.022019181,-0.64204496,-15.597648,-3.6018124,-0.3021722,-1178.3213,-474.11142,-56.684902,-5.7345445e-05,-6.948153e-05,-4.4831104e-06,-0.003083768,-0.00012522827,-0.00049191114,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,2.0892925e-09,2.2306416e-05,0.0007688405,1.4626366e-05,5.7319544e-06,5.8929418e-06,1.3563182e-05,0.015448643,0.015458195,0.014862509,0.07877418,0.078709036,0.3836597,1.102181e-11,1.09843575e-11,1.7615805e-11,5.000026e-08,5.0000814e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.39684156,0.6194027,0.16359302,0.120582476,0.046032418,0.050325196,0.0,0.0,0.0,-0.000122,320,0,0,831,0,0,0,1
245732449,0.7650047,0.06512649,-0.021112513,-0.6403753,-15.435766,-3.5743701,-0.25966233,-1181.4657,-474.8783,-56.771564,-5.7201378e-05,-6.933164e-05,-4.817544e-06,-0.0030812246,-0.000120044504,-0.00049304165,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,3.511326e-09,2.883609e-05,0.0006818699,1.4572649e-05,5.7318657e-06,5.878714e-06,1.3693623e-05,0.015381418,0.015411043,0.014720091,0.078335896,0.0782733,0.37906775,1.1012157e-11,1.0979659e-11,1.7627358e-11,5.00003e-08,5.000082e-08,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.39573878,0.6156848,0.12989734,0.1345021,0.056066632,0.03780804,0.0,0.0,0.0,3.9e-05,320,0,0,831,0,0,0,1
245937043,0.76673776,0.06438805,-0.018138977,-0.6384657,-15.262664,-3.555983,-0.15742552,-1184.5663,-475.65997,-56.84359,-5.7148838e-05,-6.909659e-05,-5.110451e-06,-0.0030820505,-0.00011246157,-0.0004940881,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,4.9439333e-09,3.6259327e-05,0.00075487024,1.4506643e-05,5.7349043e-06,5.868352e-06,1.3833502e-05,0.015278524,0.0153302355,0.0145636685,0.077872075,0.07781385,0.37404943,1.1004227e-11,1.0976296e-11,1.7638408e-11,5.000036e-08,5.0000843e-08,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.39457056,0.6115958,0.118657894,0.13400534,0.073377535,0.029720804,0.0,0.0,0.0,-0.000124,320,0,0,831,0,0,0,1
246138011,0.76852804,0.06395638,-0.019523416,-0.63631225,-15.0677595,-3.5606236,-0.11254846,-1187.6296,-476.41608,-56.908104,-5.7026016e-05,-6.8971734e-05,-5.449951e-06,-0.0030800633,-0.00010809408,-0.00049504085,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,5.4841047e-09,3.3934957e-05,0.0008088317,1.4426317e-05,5.737148e-06,5.8555415e-06,1.396175e-05,0.0152048785,0.015290306,0.014415624,0.077351265,0.077299714,0.36857495,1.09959455e-11,1.0972189e-11,1.7637468e-11,5.0000274e-08,5.0000814e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.3932569,0.60710377,0.13893887,0.123816565,0.073760636,0.019878672,0.0,0.0,0.0,-8e-06,320,0,0,831,0,0,0,1
246339508,0.769792,0.06965367,-0.023325091,-0.6340541,-14.845344,-3.5172255,-0.35224262,-1190.815,-477.24463,-57.047073,-5.673655e-05,-6.8688176e-05,-5.8688083e-06,-0.0030766488,-9.989923e-05,-0.0004946552,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,8.197477e-09,4.0381e-05,0.0009429455,1.42836825e-05,5.5669107e-06,5.6782264e-06,1.4039318e-05,0.01376482,0.013865643,0.01359404,0.06747058,0.0674349,0.3386234,1.08832336e-11,1.0867066e-11,1.7635244e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.36729482,0.5819136,0.10541016,0.18011463,0.06534326,0.015170801,0.0,0.0,0.0,-0.000109,320,0,0,831,0,0,0,1
246543633,0.77079344,0.07251527,-0.01890807,-0.6326623,-14.659565,-3.4213796,-0.34946185,-1193.731,-477.92923,-57.13346,-5.6730816e-05,-6.870081e-05,-6.1048218e-06,-0.0030760176,-9.961807e-05,-0.0004959371,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,6.5717733e-09,3.3377222e-05,0.00070420717,1.4323285e-05,5.745331e-06,5.8663923e-06,1.4203899e-05,0.015359038,0.015482753,0.014198122,0.07667519,0.07664213,0.3576861,1.0984022e-11,1.09676756e-11,1.765743e-11,5.0000313e-08,5.0000768e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.39155757,0.59806865,0.110065594,0.18011463,0.06534326,0.015170801,0.0,0.0,0.0,2.9e-05,320,0,0,831,0,0,0,1
246744262,0.77120245,0.07044575,-0.014952367,-0.6325035,-14.465014,-3.329256,-0.19000095,-1196.6713,-478.64728,-57.24727,-5.657505e-05,-6.8561734e-05,-6.359731e-06,-0.0030745135,-9.590715e-05,-0.0004955434,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,4.805367e-09,3.10291e-05,0.0007485544,1.4325185e-05,5.748169e-06,5.8493415e-06,1.4303877e-05,0.015199175,0.015340673,0.0140252095,0.0761565,0.07613467,0.35169038,1.0975193e-11,1.0962321e-11,1.7673812e-11,5.000039e-08,5.000072e-08,5.000011e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.390245,0.59303486,0.116171256,0.17287761,0.05616705,0.0062500457,0.0,0.0,0.0,-0.000129,320,0,0,831,0,0,0,1
246948358,0.7713417,0.072590895,-0.015474196,-0.6320786,-14.254283,-3.214224,-0.20720908,-1199.7189,-479.38104,-57.39847,-5.6332065e-05,-6.843638e-05,-6.7495653e-06,-0.0030725985,-9.319426e-05,-0.00049419986,0.4619437,-3.6646494e-08,0.4295733,0.0,0.0,0.0,0.0,0.0,0.0,3.572124e-09,2.7078013e-05,0.0005846375,1.4221724e-05,5.584328e-06,5.666414e-06,1.4314575e-05,0.013631687,0.013769269,0.01319411,0.06651951,0.066505685,0.32268524,1.0866978e-11,1.0860424e-11,1.765795e-11,5.0000036e-08,5.0000036e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071,0.3647262,0.5680539,0.09801277,0.17129812,0.05849933,0.0038181148,0.0,0.0,0.0,-3.8e-05,320,0,0,831,0,0,0,0
