timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
93259119,0.23416218,0.50261,0.31553704
93267876,0.23938872,0.49740952,0.31359947
93279120,0.23947488,0.51091164,0.3277047
93287882,0.23947488,0.51091164,0.3277047
93296667,0.24643672,0.5040234,0.3239933
93307881,0.2464565,0.5003735,0.32723475
93316668,0.23778093,0.5123249,0.33624628
93327875,0.2307338,0.5092239,0.32599488
93336712,0.23073207,0.5021984,0.32571003
93347875,0.2428817,0.5009223,0.31372058
93356680,0.2306916,0.50598556,0.3190847
93367875,0.23585351,0.49065852,0.3065682
93376669,0.23585351,0.49065852,0.3065682
93385474,0.23240271,0.4903841,0.31335726
93395881,0.22366776,0.51328546,0.31264448
93405474,0.23074839,0.4844975,0.32838172
93415882,0.24473926,0.4913858,0.33196515
93425468,0.24819094,0.4951729,0.32531852
93435882,0.24290325,0.5042978,0.31724688
93445467,0.22882968,0.49795836,0.30012795
93455900,0.22893216,0.49375957,0.3169049
93466244,0.22893216,0.49375957,0.3169049
93475875,0.22893216,0.49375957,0.3169049
93484668,0.23070705,0.4847719,0.32161397
93495875,0.22723906,0.4986857,0.3255889
93504705,0.24467814,0.4953101,0.32195595
93515875,0.2341811,0.4954473,0.31863606
93524677,0.24990728,0.5006479,0.3204457
93534323,0.22891061,0.4903841,0.3133786
93544682,0.23244666,0.5006479,0.32055232
93555130,0.23073207,0.5021984,0.32571003
93564668,0.23073207,0.5021984,0.32571003
93573468,0.2289933,0.48983523,0.3269141
93584667,0.24465312,0.47788364,0.31785992
93593468,0.23240446,0.49740952,0.31364214
93604667,0.23246561,0.49348512,0.3236513
93613468,0.23070705,0.4847719,0.32161397
93624667,0.2428369,0.48714575,0.3063831
93633476,0.23418285,0.5024728,0.31892094
93644669,0.25331238,0.48363298,0.30617666
93653468,0.25331238,0.48363298,0.30617666
93662300,0.24290064,0.49375957,0.31681958
93672708,0.24990468,0.49010965,0.32001838
93682251,0.23936719,0.494034,0.31007317
93692673,0.23416305,0.50612277,0.3156795
93702275,0.22359964,0.4891079,0.30149582
93712675,0.22892953,0.48322135,0.3164776
93722244,0.23936719,0.494034,0.31007317
93732667,0.24637209,0.49389678,0.3134144
93742245,0.24637209,0.49389678,0.3134144
93751081,0.23415956,0.49207187,0.31510976
93761467,0.23591726,0.4972723,0.31700468
93771067,0.2428593,0.494034,0.31005183
93781467,0.24282058,0.50484663,0.30371138
93791068,0.2341613,0.49909735,0.3153946
93801468,0.23250695,0.4932107,0.3304191
93811074,0.23068899,0.4954473,0.3186574
93821467,0.24457653,0.50302166,0.30532143
93831886,0.24457653,0.50302166,0.30532143
93841468,0.24457653,0.50302166,0.30532143
93850264,0.22711764,0.51004714,0.30571297
93861493,0.23244666,0.5006479,0.32055232
93870244,0.24295917,0.47929698,0.32640147
93881467,0.23416305,0.50612277,0.3156795
93890244,0.22719947,0.50598556,0.31910604
93901468,0.2324484,0.5076734,0.3208372
93910244,0.24633336,0.5047094,0.30707392
93921467,0.23071226,0.50584835,0.32246855
93930244,0.23071226,0.50584835,0.32246855
93939072,0.23942919,0.49362233,0.3202248
93949467,0.2464341,0.49348512,0.32356602
93959080,0.25337875,0.5007851,0.31704044
93970243,0.23767324,0.4954473,0.31861475
93979099,0.2429015,0.4972723,0.316962
93990243,0.2515995,0.49220908,0.31161922
93999084,0.23411736,0.4888335,0.30819958
94010243,0.2393439,0.48363298,0.306262
94019101,0.2393439,0.48363298,0.306262
94027875,0.24816939,0.49179742,0.3217922
94038243,0.23763277,0.49923456,0.31198943
94047875,0.24294546,0.5075362,0.32415706
94058243,0.22893128,0.4902469,0.31676248
94067875,0.24112576,0.50274724,0.3121105
94078243,0.24459721,0.50288445,0.30870533
94087875,0.24639101,0.48673412,0.3165134
94098243,0.23938872,0.49740952,0.31359947
94107883,0.23938872,0.49740952,0.31359947
94118267,0.24298158,0.48618525,0.33007023
94127069,0.227221,0.5093611,0.32263234
94138267,0.23597841,0.4933479,0.32701385
94147085,0.24120669,0.4951729,0.32536116
94158267,0.2499469,0.4933479,0.32692853
94167109,0.24472034,0.49854848,0.32886612
94176705,0.23769738,0.5093611,0.32256833
94187094,0.24118689,0.4988229,0.3221197
94197444,0.24118689,0.4988229,0.3221197
