timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
45750698,-0.012008,-0.00085423,0.00177001,0.843444,-0.0377264,-0.0236701,-0.535368,0.931081,0.00216238,0.0119804,-0.364609,1
45782760,-0.0196502,0.0197088,0.00686256,0.843155,-0.037798,-0.0233441,-0.535832,0.931081,0.00216238,0.0119804,-0.364609,1
45811450,-0.0419949,0.00700955,0.0132475,0.842951,-0.0381455,-0.0228314,-0.536151,0.931081,0.00216238,0.0119804,-0.364609,1
45843635,-0.0114702,-0.0179207,0.0229736,0.842806,-0.0384273,-0.0226193,-0.536367,0.931081,0.00216238,0.0119804,-0.364609,1
45875499,0.00608598,-0.0527271,0.0250534,0.842696,-0.038845,-0.0230562,-0.536491,0.931081,0.00216238,0.0119804,-0.364609,1
45907579,-0.00621265,-0.0369131,0.0258628,0.842633,-0.0391343,-0.0235996,-0.536546,0.931081,0.00216238,0.0119804,-0.364609,1
45939451,-0.00569715,-0.0149374,0.0140123,0.8425,-0.0394949,-0.0237713,-0.536721,0.931081,0.00216238,0.0119804,-0.364609,1
45971629,-0.0160735,-0.021406,0.00095587,0.842228,-0.0397072,-0.0238551,-0.537128,0.931081,0.00216238,0.0119804,-0.364609,1
46004333,-0.0377253,-0.0186555,-0.00628708,0.841863,-0.0402626,-0.0238226,-0.537659,0.931081,0.00216238,0.0119804,-0.364609,1
46032335,-0.0356601,-0.00197653,0.000318984,0.841541,-0.0407807,-0.023586,-0.538135,0.931081,0.00216238,0.0119804,-0.364609,1
46064313,-0.0312633,-0.0142578,0.00828948,0.841268,-0.0412256,-0.023289,-0.53854,0.931081,0.00216238,0.0119804,-0.364609,1
46096333,-0.0317427,-0.037577,0.0159076,0.841061,-0.0418594,-0.023383,-0.538811,0.931081,0.00216238,0.0119804,-0.364609,1
46128312,-0.0285656,-0.00776117,0.0163352,0.840883,-0.0425043,-0.0233529,-0.539039,0.931081,0.00216238,0.0119804,-0.364609,1
46160356,-0.011164,0.0818946,0.00657226,0.840691,-0.0423976,-0.0226155,-0.539379,0.931081,0.00216238,0.0119804,-0.364609,1
46192306,0.00999974,0.162793,0.00147016,0.840461,-0.0412435,-0.0205882,-0.539908,0.931081,0.00216238,0.0119804,-0.364609,1
46221272,0.0616094,0.0861373,-0.00388729,0.840218,-0.039758,-0.019318,-0.540443,0.931081,0.00216238,0.0119804,-0.364609,1
46253109,0.0104313,-0.0276815,-0.00620809,0.839952,-0.0388767,-0.0193385,-0.54092,0.931081,0.00216238,0.0119804,-0.364609,1
46285193,-0.11538,-0.144651,-0.0097724,0.839489,-0.0406263,-0.0200488,-0.541485,0.931081,0.00216238,0.0119804,-0.364609,1
46317083,-0.0960387,-0.0338373,0.01936,0.839135,-0.043339,-0.0201435,-0.541819,0.931081,0.00216238,0.0119804,-0.364609,1
46349112,-0.0964608,0.043367,0.0183588,0.839023,-0.04416,-0.0190482,-0.541967,0.931081,0.00216238,0.0119804,-0.364609,1
46381927,0.0977218,0.0500714,-0.0280616,0.838643,-0.0436805,-0.01832,-0.542619,0.931081,0.00216238,0.0119804,-0.364609,1
