timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
8379981,374.49332,21.35,96907.0,1.1514155
8400447,374.40875,21.35,96907.99,1.1514273
8412067,374.66507,21.35,96905.0,1.1513917
8422436,374.49332,21.35,96907.0,1.1514155
8444812,374.40875,21.35,96907.99,1.1514273
8455469,374.66507,21.35,96905.0,1.1513917
8466439,374.83682,21.35,96903.0,1.1513679
8487435,374.06262,21.35,96912.0,1.1514748
8497881,374.06262,21.35,96912.0,1.1514748
8508845,374.32156,21.35,96909.0,1.1514392
8530436,374.49332,21.359999,96907.0,1.1514155
8541564,374.40875,21.359999,96907.99,1.1514273
8553074,374.32156,21.359999,96909.0,1.1514392
8574436,374.83682,21.35,96903.0,1.1513679
8585832,374.49332,21.35,96907.0,1.1514155
8596901,374.40875,21.35,96907.99,1.1514273
8618435,374.66507,21.35,96905.0,1.1513917
8629703,374.49332,21.35,96907.0,1.1514155
8640472,374.32156,21.35,96909.0,1.1514392
8662439,374.23434,21.359999,96910.0,1.1514511
8672446,374.66507,21.359999,96905.0,1.1513917
8683435,375.0112,21.359999,96900.99,1.1513441
8704515,374.5805,21.359999,96906.0,1.1514035
8714509,374.66507,21.359999,96905.0,1.1513917
8725679,374.75226,21.359999,96904.0,1.1513798
8747435,374.23434,21.359999,96910.0,1.1514511
8757646,374.75226,21.359999,96904.0,1.1513798
8768449,374.5805,21.359999,96906.0,1.1514035
8789546,374.66507,21.359999,96905.0,1.1513917
8800448,374.40875,21.359999,96907.99,1.1514273
8811435,374.23434,21.359999,96910.0,1.1514511
8832436,374.66507,21.369999,96905.0,1.1513917
8843358,374.66507,21.369999,96905.0,1.1513917
8854405,374.5805,21.369999,96906.0,1.1514035
8878426,374.66507,21.369999,96905.0,1.1513917
8890654,374.32156,21.369999,96909.0,1.1514392
8902442,374.83682,21.369999,96903.0,1.1513679
8926545,374.06262,21.369999,96912.0,1.1514748
8938742,374.32156,21.369999,96909.0,1.1514392
8950442,373.80365,21.369999,96915.0,1.1515105
8973518,374.40875,21.369999,96907.99,1.1514273
8984446,374.49332,21.369999,96907.0,1.1514155
8995920,374.32156,21.369999,96909.0,1.1514392
9017539,374.14716,21.369999,96911.0,1.151463
9027526,374.23434,21.369999,96910.0,1.1514511
9039254,373.28577,21.369999,96921.0,1.1515818
9060487,374.06262,21.369999,96912.0,1.1514748
9071285,374.14716,21.369999,96911.0,1.151463
9081525,374.40875,21.369999,96907.99,1.1514273
9103227,374.14716,21.369999,96911.0,1.151463
9113579,374.5805,21.369999,96906.0,1.1514035
9123521,374.32156,21.369999,96909.0,1.1514392
9145519,374.23434,21.38,96910.0,1.1514511
9156129,373.9754,21.38,96913.0,1.1514868
9167238,374.40875,21.38,96907.99,1.1514273
9188439,374.23434,21.38,96910.0,1.1514511
9200006,374.75226,21.38,96904.0,1.1513798
9210447,373.80365,21.38,96915.0,1.1515105
9231982,374.23434,21.38,96910.0,1.1514511
9242447,374.32156,21.38,96909.0,1.1514392
9253515,374.66507,21.38,96905.0,1.1513917
9274445,374.83682,21.39,96903.0,1.1513679
9285511,374.5805,21.39,96906.0,1.1514035
9296102,374.66507,21.39,96905.0,1.1513917
9316528,374.32156,21.39,96909.0,1.1514392
9328055,374.14716,21.39,96911.0,1.151463
9338436,374.23434,21.39,96910.0,1.1514511
9359964,374.40875,21.39,96907.99,1.1514273
9370435,374.40875,21.39,96907.99,1.1514273
9381508,374.49332,21.39,96907.0,1.1514155
9403490,374.32156,21.39,96909.0,1.1514392
9413508,374.49332,21.39,96907.0,1.1514155
9424875,374.75226,21.39,96904.0,1.1513798
9445718,374.32156,21.4,96909.0,1.1514392
9456821,374.32156,21.4,96909.0,1.1514392
9467447,374.49332,21.4,96907.0,1.1514155
9489509,374.924,21.39,96901.99,1.151356
9501598,374.40875,21.39,96907.99,1.1514273
