timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
112313584,45.3832146006,-71.9274121901,234.16,-685.961,12.1686,-55.2097,-1.40764,1,1,0
112415582,45.383206069,-71.9274121455,234.186,-686.91,12.1721,-55.2357,-1.40766,1,1,0
112520540,45.3831972053,-71.9274120678,234.205,-687.896,12.1782,-55.2553,-1.40917,1,1,0
112615139,45.3831890552,-71.9274120633,234.223,-688.802,12.1785,-55.2732,-1.4101,1,1,0
112711263,45.3831809161,-71.9274120322,234.239,-689.707,12.1809,-55.2894,-1.41148,1,1,0
112807575,45.3831727331,-71.9274119824,234.252,-690.617,12.1848,-55.3022,-1.41258,1,1,0
112903898,45.3831646142,-71.9274118725,234.259,-691.52,12.1934,-55.3093,-1.41457,1,1,0
113000326,45.3831564795,-71.9274117123,234.262,-692.424,12.2059,-55.3127,-1.41627,1,1,0
113100541,45.3831481219,-71.9274114753,234.265,-693.354,12.2244,-55.3152,-1.41832,1,1,0
113201955,45.3831397517,-71.9274111919,234.258,-694.284,12.2466,-55.3084,-1.42008,1,1,0
113301631,45.3831314858,-71.9274108339,234.254,-695.203,12.2745,-55.3038,-1.42058,1,1,0
113403559,45.3831232182,-71.9274104523,234.251,-696.123,12.3043,-55.3012,-1.42217,1,1,0
113510046,45.3831144028,-71.9274099753,234.246,-697.103,12.3416,-55.2958,-1.42419,1,1,0
113614811,45.3831058855,-71.9274096393,234.24,-698.05,12.3678,-55.29,-1.42513,1,1,0
113723323,45.383097158,-71.9274091865,234.24,-699.02,12.4032,-55.2903,-1.4286,1,1,0
113828187,45.3830887087,-71.9274086789,234.235,-699.96,12.4429,-55.2854,-1.43221,1,1,0
113936311,45.3830800674,-71.9274080986,234.237,-700.921,12.4882,-55.2874,-1.43301,1,1,0
114040853,45.3830717158,-71.9274076159,234.236,-701.849,12.5259,-55.2857,-1.43521,1,1,0
114144894,45.3830634889,-71.9274070345,234.235,-702.764,12.5713,-55.2853,-1.43862,1,1,0
114258535,45.3830546416,-71.9274064431,234.24,-703.748,12.6175,-55.2903,-1.44039,1,1,0
114358507,45.3830468588,-71.9274058633,234.241,-704.613,12.6628,-55.2907,-1.44102,1,1,0
114461892,45.3830388245,-71.9274054538,234.244,-705.507,12.6947,-55.294,-1.44097,1,1,0
114573969,45.3830302841,-71.9274049561,234.246,-706.456,12.7336,-55.2959,-1.44384,1,1,0
114691552,45.3830214363,-71.927404439,234.247,-707.44,12.774,-55.2974,-1.4463,1,1,0
114798741,45.383013351,-71.9274039656,234.248,-708.339,12.811,-55.2982,-1.44905,1,1,0
114908384,45.3830052942,-71.9274034917,234.254,-709.235,12.848,-55.3038,-1.45097,1,1,0
115015584,45.3829973933,-71.9274030256,234.262,-710.114,12.8844,-55.3125,-1.45254,1,1,0
115133004,45.3829889276,-71.9274023675,234.273,-711.055,12.9358,-55.3227,-1.45365,1,1,0
115253648,45.3829803988,-71.9274018697,234.291,-712.003,12.9747,-55.3415,-1.45458,1,1,0
